Overall stats:                                                                                                                          
Level     |Category                                                                                                                     
----------|------------                                                                                                                 
mild      |conversation:        WER= 8.73% N= 92852 C= 89180 D=1273 S=2399 I=4431                                                       
moderate  |conversation:        WER=16.89% N= 15131 C= 14429 D= 273 S= 429 I=1853                                                       
severe    |conversation:        WER=48.22% N= 12740 C= 11729 D= 301 S= 710 I=5132                                                       
mild      |command     :        WER= 8.18% N= 43730 C= 40304 D= 182 S=3244 I= 152                                                       
moderate  |command     :        WER=10.89% N=  6751 C=  6070 D=  31 S= 650 I=  54                                                       
severe    |command     :        WER=11.51% N= 12281 C= 10926 D=  82 S=1273 I=  59                                                       
mild      |all         :        WER= 8.55% N=136582 C=129484 D=1455 S=5643 I=4583                                                       
moderate  |all         :        WER=15.04% N= 21882 C= 20499 D= 304 S=1079 I=1907                                                       
severe    |all         :        WER=30.20% N= 25021 C= 22655 D= 383 S=1983 I=5191                                                       
all       |conversation:        WER=13.92% N=120723 C=115338 D=1847 S=3538 I=11416                                                      
all       |command     :        WER= 9.12% N= 62762 C= 57300 D= 295 S=5167 I= 265                                                       
all       |all         :        WER=12.28% N=183485 C=172638 D=2142 S=8705 I=11681     

Per-spk stats:                                                                                                                          
mild                                                                                                                                    
----------|------------                                                                                                                 
0066      |conversation:        WER= 5.81% N=5456 C=5307 D= 30 S=119 I=168                                                              
0066      |command     :        WER=11.22% N=3057 C=2765 D= 19 S=273 I= 51                                                              
0066      |all         :        WER= 7.75% N=8513 C=8072 D= 49 S=392 I=219                                                              
0067      |conversation:        WER= 6.51% N=14936 C=14361 D=218 S=357 I=398                                                            
0067      |command     :        WER= 7.27% N=4275 C=3974 D= 10 S=291 I= 10                                                              
0067      |all         :        WER= 6.68% N=19211 C=18335 D=228 S=648 I=408                                                            
0053      |conversation:        WER= 3.98% N=5758 C=5642 D= 34 S= 82 I=113                                                              
0053      |command     :        WER= 9.00% N=1266 C=1153 D=  7 S=106 I=  1
0053      |all         :        WER= 4.88% N=7024 C=6795 D= 41 S=188 I=114
0051      |conversation:        WER= 3.59% N=4260 C=4162 D= 30 S= 68 I= 55
0051      |command     :        WER= 6.67% N=2427 C=2270 D=  9 S=148 I=  5
0051      |all         :        WER= 4.71% N=6687 C=6432 D= 39 S=216 I= 60
0061      |conversation:        WER=35.13% N=2929 C=2838 D= 28 S= 63 I=938
0061      |command     :        WER= 7.09% N=2116 C=1972 D=  4 S=140 I=  6
0061      |all         :        WER=23.37% N=5045 C=4810 D= 32 S=203 I=944
